ID,NationalDex,Name,HP,Atk,Def,SpA,SpD,Spe,Total,Type1,Type2,Tier,Ability1,Ability2,HiddenAbility,Mass,LK/GK,EVYield,EXPV,Color,Hatch,Gender,EggGroup1,EggGroup2,Catch,EXP,Evolve,EvolveNum,HasForms,IsForm,IsAlolanForm,IsGalarianForm,EvolvesFromRegionalForm,JohtoDex,HoennDex,SinnohDex,UnovaDex,KalosDex,AlolaDex,GalarDex,PrevEvolution,NextEvolution
1,1,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison,,Overgrow,None,Chlorophyll,6.9 kG,20,1 SpA,64,Green,5120,M (87.5%),Monster,Grass,45,1059860,,1,False,False,False,False,False,231,-1,-1,-1,80,-1,-1,,Ivysaur
2,2,Ivysaur,60,62,63,80,80,60,405,Grass,Poison,,Overgrow,None,Chlorophyll,13 kG,40,1 SpA/1 SpD,142,Green,5120,M (87.5%),Monster,Grass,45,1059860,Lv. 16,1,False,False,False,False,False,232,-1,-1,-1,81,-1,-1,Bulbasaur,Venusaur
4,3,Venusaur (Mega),80,100,123,122,120,80,625,Grass,Poison,,Thick Fat,None,,155.5 kG,100,2 SpA/1 SpD,281,Green,5120,M (87.5%),Monster,Grass,45,1059860,Lv. 32,1,True,True,False,False,False,233,-1,-1,-1,82,-1,-1,Ivysaur,
5,3,Venusaur (Gmax),80,82,83,100,100,80,525,Grass,Poison,,Overgrow,None,Chlorophyll,1000 kG,120,2 SpA/1 SpD,236,Green,5120,M (87.5%),Monster,Grass,45,1059860,Lv. 32,1,True,True,False,False,False,233,-1,-1,-1,82,-1,-1,Ivysaur,
3,3,Venusaur,80,82,83,100,100,80,525,Grass,Poison,,Overgrow,None,Chlorophyll,100 kG,80,2 SpA/1 SpD,236,Green,5120,M (87.5%),Monster,Grass,45,1059860,Lv. 32,1,True,False,False,False,False,233,-1,-1,-1,82,-1,-1,Ivysaur,
6,4,Charmander,39,52,43,60,50,65,309,Fire,,,Blaze,None,Solar Power,8.5 kG,20,1 Spe,62,Red,5120,M (87.5%),Monster,Dragon,45,1059860,,1,False,False,False,False,False,234,-1,-1,-1,83,-1,378,,Charmeleon
7,5,Charmeleon,58,64,58,80,65,80,405,Fire,,,Blaze,None,Solar Power,19 kG,40,1 SpA/1 Spe,142,Red,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 16,1,False,False,False,False,False,235,-1,-1,-1,84,-1,379,Charmander,Charizard
9,6,Charizard (Mega-X),78,130,111,130,85,100,634,Fire,Dragon,,Tough Claws,None,,110.5 kG,100,3 SpA,285,Red,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,1,True,True,False,False,False,236,-1,-1,-1,85,-1,380,Charmeleon,
10,6,Charizard (Mega-Y),78,104,78,159,115,100,634,Fire,Flying,,Drought,None,,100.5 kG,100,3 SpA,285,Red,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,1,True,True,False,False,False,236,-1,-1,-1,85,-1,380,Charmeleon,
11,6,Charizard (Gmax),78,84,78,109,85,100,534,Fire,Flying,,Blaze,None,Solar Power,1000 kG,120,3 SpA,240,Red,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,1,True,True,False,False,False,236,-1,-1,-1,85,-1,380,Charmeleon,
